name,b_number,localization
aaeA,b3241,IM
aaeB,b3240,IM
aaeX,b3242,IM
aas,b2836,IM
abgT,b1336,IM
abrB,b0715,IM
acrA,b0463,LPI
acrB,b0462,IM
acrD,b2470,IM
acrE,b3265,LPI
acrF,b3266,IM
actP,b4067,IM
adeP,b3714,IM
adeQ,b3664,IM
adiC,b4115,IM
aer,b3072,IM
afuB,b0263,IM
agaC,b3139,IM
agaD,b3140,IM
agaW,b3134,IM
agp,b1002,PE
alaE,b2670,IM
alsB,b4088,PE
alsC,b4086,IM
alx,b3088,IM
amiA,b2435,PE
amiB,b4169,PE
amiC,b2817,PE
amiD,b0867,LPO
ampC,b4150,PE
ampE,b0111,IM
ampG,b0433,IM
ampH,b0376,IM
amtB,b0451,IM
ansB,b2957,PE
ansP,b1453,IM
apbE,b2214,LPI
aphA,b4055,PE
appA,b0980,PE
appB,b0979,IM
appC,b0978,IM
aqpZ,b0875,IM
araE,b2841,IM
araF,b1901,PE
araH,b4460,IM
araJ,b0396,IM
arcB,b3210,IM
argO,b2923,IM
argT,b2310,PE
arnC,b2254,IM
arnE,b4544,IM
arnF,b2258,IM
arnT,b2257,IM
aroP,b0112,IM
arsB,b3502,IM
artI,b0863,PE
artJ,b0860,PE
artM,b0861,IM
artQ,b0862,IM
ascF,b2715,IM
aslA,b3801,PE
asmA,b2064,PE
asr,b1597,PE
atoE,b2223,IM
atoS,b2219,IM
atpB,b3738,IM
atpE,b3737,IM
atpF,b3736,IM
atpI,b3739,IM
bacA,b3057,IM
baeS,b2078,IM
bamA,b0177,OM
bamB,b2512,LPO
bamC,b2477,LPO
bamD,b2595,LPO
bamE,b2617,LPO
barA,b2786,IM
basS,b4112,IM
bax,b3570,PE
bcr,b2182,IM
bcsA,b3533,IM
bcsB,b3532,IM
bcsC,b3530,OM
bcsG,b3538,IM
bcsZ,b3531,EC
bepA,b2494,PE
betT,b0314,IM
bglF,b3722,IM
bglH,b3720,OM
bglX,b2132,PE
bhsA,b1112,OM
blc,b4149,LPO
blr,b4409,IM
borD,b0557,LPO
brnQ,b0401,IM
bsmA,b4189,LPO
btuB,b3966,OM
btuC,b1711,IM
btuF,b0158,PE
cadB,b4132,IM
cadC,b4133,IM
caiT,b0040,IM
cbrB,b3716,IM
ccmB,b2200,IM
ccmC,b2199,IM
ccmD,b2198,IM
ccmE,b2197,IM
ccmF,b2196,IM
ccmG,b2195,IM
ccmH,b2194,IM
cdgI,b1785,IM
cdh,b3918,IM
cdsA,b0175,IM
chaA,b1216,IM
chbC,b1737,IM
chiA,b3338,PE
chiP,b0681,OM
cirA,b2155,OM
citT,b0612,IM
clcA,b0155,IM
clcB,b1592,IM
clsA,b1249,IM
cmtA,b2933,IM
cobS,b1992,IM
