name,b_number,localization
codB,b0336,IM
copA,b0484,IM
corA,b3816,IM
cpdB,b4213,PE
cpoB,b0742,PE
cptA,b2896,IM
cpxA,b3911,IM
cpxP,b4484,PE
crcB,b0624,IM
creA,b4397,PE
creC,b4399,IM
creD,b4400,IM
csgA,b1042,EC
csgB,b1041,EC
csgE,b1039,PE
csgF,b1038,OM
csgG,b1037,OM
csrD,b3252,IM
cstA,b0598,IM
cueO,b0123,PE
cusA,b0575,IM
cusB,b0574,MR
cusC,b0572,OM
cusF,b0573,PE
cusS,b0570,IM
cvpA,b2313,IM
cvrA,b1191,IM
cybB,b1418,IM
cycA,b4208,IM
cydA,b0733,IM
cydB,b0734,IM
cydC,b0886,IM
cydD,b0887,IM
cydX,b4515,IM
cynX,b0341,IM
cyoA,b0432,IM
cyoB,b0431,IM
cyoC,b0430,IM
cyoD,b0429,IM
cyoE,b0428,IM
cysP,b2425,PE
cysU,b2424,IM
cysW,b2423,IM
cysZ,b2413,IM
dacA,b0632,IM
dacB,b3182,PE
dacC,b0839,IM
dacD,b2010,IM
dadA,b1189,IM
damX,b3388,IM
dauA,b1206,IM
dcrB,b3472,PE
dctA,b3528,IM
dcuA,b4138,IM
dcuB,b4123,IM
dcuC,b0621,IM
dcuD,b3227,IM
dcuS,b4125,IM
ddpA,b1487,PE
ddpB,b1486,IM
ddpC,b1485,IM
dedA,b2317,IM
dedD,b2314,IM
degP,b0161,PE
degQ,b3234,PE
degS,b3235,PE
dgcC,b0385,IM
dgcE,b2067,IM
dgcF,b1522,IM
dgcI,b0834,IM
dgcJ,b1786,IM
dgcN,b2604,IM
dgcQ,b1956,IM
dgcT,b1025,IM
dgkA,b4042,IM
dgoT,b3691,IM
dinF,b4044,IM
djlA,b0055,IM
dmsA,b0894,IM
dmsC,b0896,IM
dpiB,b0619,IM
dppA,b3544,PE
dppB,b3543,IM
dppC,b3542,IM
dsbA,b3860,PE
dsbB,b1185,IM
dsbC,b2893,PE
dsbD,b4136,IM
dsbG,b0604,PE
dsdX,b2365,IM
dtpA,b1634,IM
dtpB,b3496,IM
dtpC,b4130,IM
dtpD,b0709,IM
eaeH,b0297,OM
eamA,b1533,IM
eamB,b2578,IM
ecnA,b4410,LPO
ecnB,b4411,LPO
eco,b2209,PE
ecpA,b0293,EC
ecpB,b0292,PE
ecpC,b0291,OM
ecpD,b0290,EC
efeB,b1019,PE
efeO,b1018,PE
elfA,b0938,EC
elfC,b0940,OM
elfD,b0939,PE
elyC,b0920,IM
emrA,b2685,IM
emrB,b2686,IM
emrD,b3673,IM
emrE,b0543,IM
emrK,b2368,IM
emrY,b2367,IM
emtA,b1193,LPO
endA,b2945,PE
entS,b0591,IM
envC,b3613,PE
envZ,b3404,IM
eptA,b4114,IM
eptB,b3546,IM
eptC,b3955,IM
etk,b0981,IM
eutH,b2452,IM
evgS,b2370,IM
exbB,b3006,IM
exbD,b3005,IM
exuT,b3093,IM
fadE,b0221,IM
fadL,b2344,OM
fdnG,b1474,PE
fdnH,b1475,IM
fdnI,b1476,IM
fdoG,b3894,PE
fdoI,b3892,IM
fecA,b4291,OM
fecB,b4290,PE
fecC,b4289,IM
fecD,b4288,IM
feoB,b3409,IM
fepA,b0584,OM
fepB,b0592,PE
fepD,b0590,IM
fepE,b0587,IM
fepG,b0589,IM
fetB,b0491,IM
fhuA,b0150,OM
fhuB,b0153,IM
fhuD,b0152,PE
fhuE,b1102,OM
fieF,b3915,IM
fimA,b4314,EC
fimC,b4316,PE
fimD,b4317,OM
fimF,b4318,EC
fimI,b4315,EC
fiu,b0805,OM
fkpA,b3347,PE
flgA,b1072,PE
flgE,b1076,EC
flgH,b1079,EC
flgI,b1080,PE
flgK,b1082,EC
flhA,b1879,IM
flhB,b1880,IM
flhE,b1878,PE
fliF,b1938,IM
fliL,b1944,IM
fliO,b1947,IM
fliP,b1948,IM
fliQ,b1949,IM
fliR,b1950,IM
flk,b2321,IM
flu,b2000,OM
focA,b0904,IM
focB,b2492,IM
frdC,b4152,IM
frdD,b4151,IM
frlA,b3370,IM
fruA,b2167,IM
frvB,b3899,IM
frwC,b3949,IM
fryC,b2386,IM
fsr,b0479,IM
ftsB,b2748,IM
ftsE,b3463,IM
ftsH,b3178,IM
ftsI,b0084,IM
ftsK,b0890,IM
ftsL,b0083,IM
ftsN,b3933,IM
ftsP,b3017,PE
ftsQ,b0093,IM
ftsW,b0089,IM
ftsX,b3462,IM
ftsY,b3464,IM
fucP,b2801,IM
fxsA,b4140,IM
gabP,b2663,IM
gadC,b1492,IM
galP,b2943,IM
garP,b3127,IM
gatC,b2092,IM
gcd,b0124,IM
gfcA,b0987,IM
gfcB,b0986,LPO
gfcC,b0985,PE
gfcD,b0984,LPO
gfcE,b0983,OM
ggt,b3447,PE
ghoT,b4559,IM
ghxP,b4064,IM
ghxQ,b4464,IM
glcA,b2975,IM
glnH,b0811,PE
glnP,b0810,IM
glpF,b3927,IM
glpG,b3424,IM
glpQ,b2239,PE
glpT,b2240,IM
glrK,b2556,IM
gltF,b3214,PE
gltI,b0655,PE
gltJ,b0654,IM
gltK,b0653,IM
gltP,b4077,IM
gltS,b3653,IM
glvC,b3683,IM
gntP,b4321,IM
gntT,b3415,IM
gntU,b4476,IM
gsiB,b0830,PE
gsiC,b0831,IM
gsiD,b0832,IM
gspA,b3323,IM
gspC,b3324,IM
gspD,b3325,OM
gspF,b3327,IM
gspG,b3328,IM
gspH,b3329,IM
gspI,b3330,IM
gspJ,b3331,IM
gspK,b3332,IM
gspL,b3333,IM
gspM,b3334,IM
gspO,b3335,IM
gudP,b2789,IM
hcaT,b2536,IM
hdeA,b3510,PE
hdeB,b3509,PE
hdeD,b3511,IM
hemX,b3803,IM
hemY,b3802,IM
hflC,b4175,IM
hflK,b4174,IM
hisJ,b2309,PE
hisM,b2307,IM
hisQ,b2308,IM
hofC,b0106,IM
hofO,b3393,IM
hofQ,b3391,OM
hokA,b4455,MR
hokE,b4415,MR
hslJ,b1379,OM
hsrA,b3754,IM
htpX,b1829,IM
htrE,b0139,OM
hyaA,b0972,IM
hyaC,b0974,IM
hybA,b2996,PE
hybB,b2995,IM
hybO,b2997,PE
hycC,b2723,IM
hycD,b2722,IM
hyfB,b2482,IM
hyfC,b2483,IM
hyfD,b2484,IM
hyfE,b2485,IM
hyfF,b2486,IM
iap,b2753,PE
idnT,b4265,IM
ivy,b0220,PE
kch,b1250,IM
kdgT,b3909,IM
kdpA,b0698,IM
kdpB,b0697,IM
kdpC,b0696,IM
kdpD,b0695,IM
kefB,b3350,IM
kefC,b0047,IM
kgtP,b2587,IM
kup,b3747,IM
lacY,b0343,IM
lamB,b4036,OM
lapA,b1279,IM
ldtA,b1990,PE
ldtB,b0819,PE
ldtC,b1113,PE
ldtD,b0925,MR
ldtE,b1678,PE
leuE,b1798,IM
lgoT,b4356,IM
lgt,b2828,IM
lit,b1139,IM
livH,b3457,IM
livJ,b3460,PE
livK,b3458,PE
livM,b3456,IM
lldP,b3603,IM
lnt,b0657,IM
loiP,b2936,LPO
lolA,b0891,PE
lolB,b1209,LPO
lolC,b1116,IM
lolD,b1117,IM
lolE,b1118,IM
lplT,b2835,IM
lpoA,b3147,LPO
lpoB,b1105,LPO
lpp,b1677,LPO
lptA,b3200,PE
lptC,b3199,IM
lptD,b0054,OM
lptE,b0641,LPO
lptF,b4261,IM
lptG,b4262,IM
lpxK,b0915,IM
lpxL,b1054,IM
lpxM,b1855,IM
lpxP,b2378,IM
lpxT,b2174,IM
lspA,b0027,IM
lsrB,b1516,PE
lsrC,b1514,IM
lsrD,b1515,IM
lysO,b0874,IM
lysP,b2156,IM
macA,b0878,IM
macB,b0879,IM
malE,b4034,PE
malF,b4033,IM
malG,b4032,IM
malM,b4037,PE
malS,b3571,PE
malX,b1621,IM
manY,b1818,IM
manZ,b1819,IM
marB,b1532,PE
marC,b1529,IM
mdfA,b0842,IM
mdlA,b0448,IM
mdlB,b0449,IM
mdtA,b2074,IM
mdtB,b2075,IM
mdtC,b2076,IM
mdtD,b2077,IM
mdtE,b3513,IM
mdtF,b3514,IM
mdtG,b1053,IM
mdtH,b1065,IM
mdtI,b1599,IM
mdtJ,b1600,IM
mdtK,b1663,IM
mdtL,b3710,IM
mdtM,b4337,IM
mdtO,b4081,IM
mdtP,b4080,OM
melB,b4120,IM
menA,b3930,IM
mepA,b2328,PE
mepH,b1655,PE
mepM,b1856,IM
mepS,b2175,LPO
metI,b0198,IM
mglB,b2150,PE
mglC,b2148,IM
mgtA,b4242,IM
mhpT,b0353,IM
mipA,b1782,OM
mlaA,b2346,LPO
mlaC,b3192,PE
mlaD,b3193,IM
mlaE,b3194,IM
mlaF,b3195,IM
mliC,b1639,LPO
mltA,b2813,LPO
mltB,b2701,LPO
mltC,b2963,LPO
mltD,b0211,LPO
mmuP,b0260,IM
mngA,b0731,IM
mntH,b2392,IM
mntP,b1821,IM
modA,b0763,PE
modB,b0764,IM
mokC,b0018,MR
motA,b1890,IM
motB,b1889,IM
mppA,b1329,PE
mqo,b2210,IM
mraY,b0087,IM
mrcB,b0149,IM
mrdA,b0635,IM
mrdB,b0634,IM
mreC,b3250,IM
mreD,b3249,IM
msbA,b0914,IM
mscK,b0465,IM
mscL,b3291,IM
mscM,b4159,IM
mscS,b2924,IM
mtgA,b3208,IM
mtlA,b3599,IM
mtr,b3161,IM
murG,b0090,IM
murJ,b1069,IM
murP,b2429,IM
mzrA,b3096,IM
nagE,b0679,IM
nanC,b4311,OM
nanM,b4310,PE
nanT,b3224,IM
napA,b2206,PE
napB,b2203,PE
napC,b2202,IM
napG,b2205,PE
napH,b2204,IM
narI,b1227,IM
narK,b1223,IM
narQ,b2469,IM
narU,b1469,IM
narV,b1465,IM
narX,b1222,IM
ndh,b1109,IM
nepI,b3662,IM
nfrA,b0568,OM
nfrB,b0569,IM
nhaA,b0019,IM
nhaB,b1186,IM
nikA,b3476,PE
nikB,b3477,IM
nikC,b3478,IM
nimT,b1791,IM
nirC,b3367,IM
nlpA,b3661,LPI
nlpC,b1708,LPO
nlpE,b0192,LPO
nmpC,b0553,OM
nrfA,b4070,PE
nrfB,b4071,PE
nrfC,b4072,PE
nrfD,b4073,IM
nrfE,b4074,IM
nrfF,b4075,PE
nrfG,b4076,LPO
nuoA,b2288,IM
nuoH,b2282,IM
nuoI,b2281,IM
nuoJ,b2280,IM
nuoK,b2279,IM
nuoL,b2278,IM
nuoM,b2277,IM
nuoN,b2276,IM
nupC,b2393,IM
nupG,b2964,IM
nupX,b2161,IM
ompA,b0957,OM
ompC,b2215,OM
ompF,b0929,OM
ompG,b1319,OM
ompL,b3875,OM
ompN,b1377,OM
ompT,b0565,OM
ompW,b1256,OM
ompX,b0814,OM
opgB,b4359,IM
opgC,b1047,IM
opgD,b1424,PE
opgE,b0815,IM
opgG,b1048,PE
opgH,b1049,IM
oppA,b1243,PE
oppB,b1244,IM
oppC,b1245,IM
ortT,b1445,IM
osmB,b1283,LPO
osmE,b1739,LPO
osmF,b2131,PE
osmY,b4376,PE
pagP,b0622,OM
pal,b0741,LPO
panF,b3258,IM
pbpC,b2519,IM
pbpG,b2134,PE
pdeA,b2395,IM
pdeB,b0457,IM
pdeC,b4061,IM
pdeF,b2503,IM
pdeG,b1168,IM
pdeI,b0833,IM
pdeK,b3529,IM
pdeN,b2176,IM
pgaA,b1024,OM
pgaC,b1022,IM
pgaD,b1021,IM
pgpA,b0418,IM
pgpB,b1278,IM
pgsA,b1912,IM
pheP,b0576,IM
phnD,b4105,PE
phoA,b0383,PE
phoE,b0241,OM
phoQ,b1129,IM
phoR,b0400,IM
pitA,b3493,IM
pitB,b2987,IM
plaP,b2014,IM
pldA,b3821,OM
pliG,b1178,PE
plsC,b3018,IM
pntA,b1603,IM
pntB,b1602,IM
pnuC,b0751,IM
potB,b1125,IM
potC,b1124,IM
potD,b1123,PE
potE,b0692,IM
potF,b0854,PE
potH,b0856,IM
potI,b0857,IM
ppiA,b3363,PE
ppiD,b0441,IM
pppA,b2972,IM
pqiA,b0950,IM
prc,b1830,IM
proP,b4111,IM
proW,b2678,IM
proX,b2679,PE
proY,b0402,IM
psiE,b4030,IM
pspB,b1305,IM
pspC,b1306,IM
pspD,b1307,IM
pspE,b1308,PE
pstA,b3726,IM
pstC,b3727,IM
pstS,b3728,PE
psuT,b2164,IM
ptrA,b2821,PE
ptsG,b1101,IM
putP,b1015,IM
puuP,b1296,IM
qseC,b3026,IM
rarD,b3819,IM
rbbA,b3486,IM
rbsB,b3751,PE
rbsC,b3750,IM
rclB,b0303,PE
rclC,b0301,IM
rcnA,b2106,IM
rcsC,b2218,IM
rcsD,b2216,IM
rcsF,b0196,LPO
rfbX,b2037,IM
rfe,b3784,IM
rhaT,b3907,IM
rhtA,b0813,IM
rhtB,b3824,IM
rhtC,b3823,IM
rlpA,b0633,LPO
rna,b0611,PE
rne,b1084,IM
rodZ,b2516,IM
rrrD,b0555,PE
rseB,b2571,PE
rseC,b2570,IM
rseP,b0176,IM
rstB,b1609,IM
rsxA,b1627,IM
rsxB,b1628,IM
rsxD,b1630,IM
rsxE,b1632,IM
rsxG,b1631,IM
rutG,b1006,IM
rzoD,b4510,LPO
rzoR,b4528,LPO
sanA,b2144,IM
sapA,b1294,PE
sapB,b1293,IM
sapC,b1292,IM
satP,b0010,IM
sbmA,b0377,IM
sbp,b3917,PE
sdaC,b2796,IM
sdhC,b0721,IM
sdhD,b0722,IM
secA,b0098,IM
secD,b0408,IM
secE,b3981,IM
secF,b0409,IM
secG,b3175,IM
secM,b0097,PE
secY,b3300,IM
setA,b0070,IM
setB,b2170,IM
setC,b3659,IM
sfmA,b0530,EC
sfmC,b0531,PE
sfmD,b0532,OM
sfmF,b0534,EC
sfmH,b0533,EC
sgcC,b4304,IM
shiA,b1981,IM
sieB,b1353,IM
skp,b0178,PE
slp,b3506,LPO
slt,b4392,PE
slyB,b1641,LPO
sodC,b1646,PE
sohB,b1272,IM
sppA,b1766,IM
spy,b1743,PE
srlA,b2702,IM
srlE,b2703,IM
sstT,b3089,IM
ssuA,b0936,PE
ssuB,b0933,IM
ssuC,b0934,IM
sugE,b4148,IM
surA,b0053,PE
tamA,b4220,OM
tamB,b4221,IM
tap,b1885,IM
tar,b1886,IM
tatA,b3836,IM
tatC,b3839,IM
tauA,b0365,PE
tauC,b0367,IM
tbpA,b0068,PE
tcdA,b2812,MR
tcyJ,b1920,PE
tcyL,b1918,IM
tcyP,b1729,IM
tdcC,b3116,IM
tehA,b1429,IM
tesA,b0494,PE
thiP,b0067,IM
tnaB,b3709,IM
tolA,b0739,IM
tolB,b0740,PE
tolC,b3035,OM
tolQ,b0737,IM
tolR,b0738,IM
tonB,b1252,IM
torA,b0997,PE
torC,b0996,IM
torS,b0993,IM
torT,b0994,PE
torY,b1873,IM
torZ,b1872,PE
tqsA,b1601,IM
treA,b1197,PE
treB,b4240,IM
trg,b1421,IM
trkG,b1363,IM
trkH,b3849,IM
tsgA,b3364,IM
tsr,b4355,IM
tsx,b0411,OM
ttdT,b3063,IM
tynA,b1386,PE
tyrP,b1907,IM
uacT,b2888,IM
ubiA,b4040,IM
ubiB,b3835,IM
ubiD,b3843,IM
ugpA,b3452,IM
ugpB,b3453,PE
ugpE,b3451,IM
uhpB,b3668,IM
uhpC,b3667,IM
uhpT,b3666,IM
uidB,b1616,IM
uidC,b1615,OM
ulaA,b4193,IM
uraA,b2497,IM
ushA,b0480,PE
uspB,b3494,IM
waaA,b3633,IM
waaL,b3622,IM
waaU,b3623,IM
wbbH,b2035,IM
wcaD,b2056,IM
wcaJ,b2047,IM
wcaM,b2043,PE
wecH,b3561,IM
wza,b2062,OM
wzc,b2060,IM
wzxC,b2046,IM
wzxE,b3792,IM
wzyE,b3793,IM
wzzB,b2027,IM
wzzE,b3785,IM
xanP,b3654,IM
xanQ,b2882,IM
xapB,b2406,IM
xylE,b4031,IM
xylF,b3566,PE
xylH,b3568,IM
yaaI,b0013,PE
yaaJ,b0007,IM
yaaU,b0045,IM
yabI,b0065,IM
yacC,b0122,PE
yacH,b0117,PE
yadH,b0128,IM
yadK,b0136,EC
yadM,b0138,EC
yadN,b0141,EC
yadS,b0157,IM
yadV,b0140,PE
yaeF,b0193,LPO
yafL,b0227,PE
yafT,b0217,LPO
yafU,b0218,IM
yafY,b0251,LPI
yagG,b0270,IM
yagU,b0287,IM
yahC,b0317,IM
yahJ,b0324,PE
yahN,b0328,IM
yahO,b0329,PE
yaiO,b0358,OM
yaiP,b0363,IM
yaiT,b0371,EC
yaiU,b0374,OM
yaiW,b0378,LPO
yaiY,b0379,IM
yaiZ,b0380,IM
yajC,b0407,IM
yajG,b0434,LPO
yajI,b0412,LPO
yajR,b0427,IM
ybaL,b0478,IM
ybaN,b0468,IM
ybaT,b0486,IM
ybaV,b0442,PE
ybaY,b0453,LPO
ybbC,b0498,LPO
ybbJ,b0488,IM
ybbP,b0496,IM
ybbW,b0511,IM
ybbY,b0513,IM
ybcH,b0567,PE
ybcI,b0527,IM
ybcL,b0545,PE
ybdG,b0577,IM
ybdJ,b0580,IM
ybeT,b0647,LPO
ybfB,b0702,IM
ybfC,b0704,PE
ybfN,b0682,LPO
ybfP,b0689,LPO
ybgD,b0719,EC
ybgE,b0735,IM
ybgO,b0716,EC
ybgP,b0717,PE
ybgQ,b0718,OM
ybgS,b0753,PE
ybhC,b0772,LPO
ybhG,b0795,IM
ybhI,b0770,IM
ybhL,b0786,IM
ybhM,b0787,IM
ybhN,b0788,IM
ybhQ,b0791,IM
ybhR,b0792,IM
ybhS,b0793,IM
ybiO,b0808,IM
ybiR,b0818,IM
ybjC,b0850,IM
ybjG,b0841,IM
ybjJ,b0845,IM
ybjL,b0847,IM
ybjM,b0848,IM
ybjO,b0858,IM
ybjP,b0865,LPO
ycaD,b0898,IM
ycaI,b0913,IM
ycaL,b0909,EC
ycaM,b0899,IM
ycaP,b0906,IM
ycbF,b0944,PE
ycbK,b0926,PE
ycbU,b0942,EC
ycbV,b0943,EC
yccA,b0970,IM
yccF,b0961,IM
yccM,b0992,IM
yccS,b0960,IM
yccT,b0964,PE
ycdU,b1029,IM
ycdZ,b1036,IM
yceI,b1056,PE
yceJ,b1057,IM
yceK,b1050,OM
ycfJ,b1110,MR
ycfL,b1104,LPO
ycfT,b1115,IM
ycfZ,b1121,IM
ycgJ,b1177,PE
ycgV,b1202,OM
ychE,b1242,IM
ychH,b1205,IM
ychO,b1220,PE
ychQ,b1213,IM
yciB,b1254,IM
yciC,b1255,IM
yciQ,b1268,IM
ycjF,b1322,IM
ycjO,b1311,IM
ycjP,b1312,IM
ydaN,b1342,IM
ydaS,b1357,PE
ydbD,b1407,IM
ydbH,b1381,IM
ydbJ,b4529,LPO
ydcA,b1419,PE
ydcL,b1431,LPO
ydcO,b1433,IM
ydcS,b1440,PE
ydcU,b1442,IM
ydcV,b1443,IM
ydcZ,b1447,IM
yddA,b1496,IM
yddB,b1495,OM
yddG,b1473,IM
yddL,b1472,OM
yddW,b1491,LPO
ydeA,b1528,IM
ydeE,b1534,IM
ydeI,b1536,PE
ydeK,b1510,LPO
ydeN,b1498,PE
ydeR,b1503,EC
ydeS,b1504,EC
ydeT,b1505,OM
ydeU,b1509,OM
ydfJ,b1543,IM
ydgC,b1607,IM
ydgD,b1598,PE
ydgH,b1604,PE
ydgI,b1605,IM
ydgK,b1626,IM
ydhC,b1660,IM
ydhI,b1643,IM
ydhJ,b1644,IM
ydhK,b1645,IM
ydhP,b1657,IM
ydhU,b1670,IM
ydiK,b1688,IM
ydiM,b1690,IM
ydiN,b1691,IM
ydiY,b1722,OM
ydjE,b1769,IM
ydjK,b1775,IM
ydjM,b1728,IM
ydjX,b1750,IM
ydjZ,b1752,IM
yeaL,b1789,IM
yeaQ,b1795,IM
yeaV,b1801,IM
yeaY,b1806,LPO
yebE,b1846,IM
yebF,b1847,EC
yebO,b1825,IM
yebQ,b1828,IM
yebS,b1833,IM
yebT,b1834,MR
yebZ,b1840,IM
yecN,b1869,IM
yecR,b1904,LPO
yecT,b1877,PE
yedA,b1959,IM
yedE,b1929,IM
yedI,b1958,IM
yedR,b1963,IM
yedS,b4496,OM
yedV,b1968,IM
yedX,b1970,PE
yedY,b1971,PE
yedZ,b1972,IM
yeeA,b2008,IM
yeeE,b2013,IM
yeeJ,b1978,EC
yeeO,b1985,IM
yeeR,b2001,IM
yegH,b2063,IM
yegJ,b2071,PE
yegR,b2085,LPO
yegT,b2098,IM
yegX,b2102,IM
yehA,b2108,EC
yehB,b2109,OM
yehC,b2110,PE
yehE,b2112,PE
yehR,b2123,LPO
yehU,b2126,IM
yehW,b2128,IM
yehY,b2130,IM
yeiB,b2152,IM
yeiH,b2158,IM
yeiS,b2145,IM
yejA,b2177,PE
yejB,b2178,IM
yejE,b2179,IM
yejM,b2188,IM
yejO,b2190,OM
yfaL,b2233,OM
yfaP,b2225,PE
yfaQ,b2226,PE
yfaT,b2229,PE
yfaV,b2246,IM
yfaZ,b2250,OM
yfbL,b2271,MR
yfbS,b2292,IM
yfbV,b2295,IM
yfcA,b2327,IM
yfcC,b2298,IM
yfcJ,b2322,IM
yfcO,b2332,PE
yfcQ,b2334,EC
yfcR,b2335,EC
yfcS,b2336,PE
yfcT,b2337,OM
yfcU,b2338,OM
yfcV,b2339,EC
yfdC,b2347,IM
yfdG,b2350,IM
yfdH,b2351,IM
yfdI,b2352,IM
yfdV,b2372,IM
yfdX,b2375,PE
yfdY,b2377,IM
yfeH,b2410,IM
yfeK,b2419,PE
yfeN,b2408,OM
yfeO,b2389,IM
yfeW,b2430,PE
yfeY,b2432,LPO
yfeZ,b2433,IM
yfgH,b2505,LPO
yfgI,b2506,PE
yfgM,b2513,IM
yfgO,b2493,IM
yfhG,b2555,LPO
yfhM,b2520,LPI
yfhR,b2534,IM
yfiB,b2605,OM
yfiL,b2602,LPO
yfiM,b2586,LPI
yfiR,b2603,PE
yfjD,b4461,IM
yfjS,b2636,LPI
yfjT,b2637,PE
yfjW,b2642,IM
ygaH,b2683,IM
ygaP,b2668,IM
ygaY,b2681,IM
ygaZ,b2682,IM
ygbE,b2749,IM
ygbN,b2740,IM
ygcG,b2778,IM
ygcS,b2771,IM
ygdD,b2807,IM
ygdI,b2809,LPO
ygdQ,b2832,IM
ygdR,b2833,LPO
ygeQ,b2863,PE
ygeR,b2865,LPO
yggE,b2922,PE
yggM,b2956,PE
yggN,b2958,PE
yggT,b2952,IM
yghB,b3009,IM
yghD,b2968,IM
yghF,b2970,PE
yghG,b2971,LPO
yghJ,b4466,LPI
yghQ,b2983,IM
ygiB,b3037,OM
ygiH,b3059,IM
ygiL,b3043,EC
ygiM,b3055,IM
ygiS,b3020,PE
ygiW,b3024,PE
ygiZ,b3027,IM
ygjI,b3078,IM
ygjJ,b3079,PE
ygjK,b3080,PE
ygjQ,b3086,IM
ygjV,b3090,IM
yhaH,b3103,IM
yhaI,b3104,IM
yhaO,b3110,IM
yhbE,b3184,IM
yhbX,b3173,IM
yhcB,b3233,IM
yhcD,b3216,OM
yhcF,b3219,PE
yhcN,b3238,PE
yhdT,b3257,IM
yhdU,b3263,MR
yhdV,b3267,LPO
yhdX,b3269,IM
yhdY,b3270,IM
yhfK,b3358,IM
yhfL,b3369,MR
yhfT,b3377,IM
yhgE,b3402,IM
yhgN,b3434,IM
yhhA,b3448,PE
yhhH,b3483,IM
yhhJ,b3485,IM
yhhL,b3466,IM
yhhN,b3468,IM
yhhQ,b3471,IM
yhhS,b3473,IM
yhhT,b3474,IM
yhiD,b3508,IM
yhiI,b3487,IM
yhiM,b3491,IM
yhjA,b3518,PE
yhjD,b3522,IM
yhjE,b3523,IM
yhjG,b3524,IM
yhjJ,b3527,PE
yhjV,b3539,IM
yhjX,b3547,IM
yhjY,b3548,OM
yiaA,b3562,IM
yiaB,b3563,IM
yiaD,b3552,IM
yiaF,b3554,LPI
yiaM,b3577,IM
yiaN,b3578,IM
yiaO,b3579,PE
yiaT,b3584,OM
yiaV,b3586,IM
yiaW,b3587,IM
yibG,b3596,PE
yibH,b3597,IM
yibI,b3598,IM
yibQ,b3614,PE
yicG,b3646,IM
yicJ,b3657,IM
yicL,b3660,IM
yidC,b3705,IM
yidE,b3685,IM
yidG,b3675,IM
yidH,b3676,IM
yidI,b3677,IM
yidK,b3679,IM
yidQ,b3688,LPI
yidX,b3696,MR
yieL,b3719,PE
yifK,b3795,IM
yifL,b4558,LPO
yigE,b4482,PE
yigF,b3817,IM
yigG,b3818,IM
yigM,b3827,IM
yihG,b3862,IM
yihN,b3874,IM
yihO,b3876,IM
yihP,b3877,IM
yihY,b3886,IM
yiiQ,b3920,PE
yiiR,b3921,IM
yiiX,b3937,PE
yijD,b3964,IM
yijE,b3943,IM
yijF,b3944,PE
yjaH,b4001,LPO
yjbB,b4020,IM
yjbF,b4027,LPO
yjbG,b4028,PE
yjbH,b4029,OM
yjcB,b4060,IM
yjcE,b4065,IM
yjcH,b4068,IM
yjcO,b4078,PE
