b_number,cog_letter,name,gene_product,go_class,go_term,cog_class,cog_category
b4634,No Annotation,aaad,DLP12 prophage; protein AaaD,process,No Ontology,No Annotation,No Annotation
b4634,No Annotation,aaad,DLP12 prophage; protein AaaD,component,No Ontology,No Annotation,No Annotation
b4634,No Annotation,aaad,DLP12 prophage; protein AaaD,function,No Ontology,No Annotation,No Annotation
b4693,No Annotation,aaae,phage terminase,process,No Ontology,No Annotation,No Annotation
b4693,No Annotation,aaae,phage terminase,component,No Ontology,No Annotation,No Annotation
b4693,No Annotation,aaae,phage terminase,function,No Ontology,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,process,carboxylic acid transport,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,process,transmembrane transport,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,component,plasma membrane,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,component,integral component of membrane,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,component,membrane,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,function,transmembrane transporter activity,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,process,transmembrane transport,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,process,carboxylic acid transport,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,component,plasma membrane,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,component,integral component of membrane,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,component,membrane,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,function,transmembrane transporter activity,No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,process,"positive regulation of transcription, DNA-templated",No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,process,"DNA-templated transcription, initiation",No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,process,"regulation of transcription, DNA-templated",No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,process,"transcription, DNA-templated",No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,component,cytosol,No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,function,DNA-binding transcription factor activity,No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,function,DNA binding,No Annotation,No Annotation
b3242,No Annotation,aaex,DUF1656 domain-containing protein AaeX,process,No Ontology,No Annotation,No Annotation
b3242,No Annotation,aaex,DUF1656 domain-containing protein AaeX,component,plasma membrane,No Annotation,No Annotation
b3242,No Annotation,aaex,DUF1656 domain-containing protein AaeX,component,integral component of membrane,No Annotation,No Annotation
b3242,No Annotation,aaex,DUF1656 domain-containing protein AaeX,component,membrane,No Annotation,No Annotation
b3242,No Annotation,aaex,DUF1656 domain-containing protein AaeX,function,No Ontology,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,process,phospholipid biosynthetic process,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,process,metabolic process,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,process,fatty acid metabolic process,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,component,membrane,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,component,plasma membrane,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,component,integral component of membrane,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,ligase activity,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,"transferase activity, transferring acyl groups",No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,transferase activity,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,catalytic activity,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,ATP binding,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,nucleotide binding,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity,No Annotation,No Annotation
b2836,No Annotation,aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,function,long-chain fatty acid [acyl-carrier-protein] ligase activity,No Annotation,No Annotation
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,process,protein catabolic process,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,component,cytosol,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,component,cytoplasm,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,function,"transferase activity, transferring amino-acyl groups",Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,function,"transferase activity, transferring acyl groups",Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,function,transferase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0885,O,aat,leucyl/phenylalanyl-tRNA&mdash;protein transferase,function,leucyltransferase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,process,proteolysis,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,process,folic acid catabolic process,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,component,cytosol,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,component,cytoplasm,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,function,dipeptidase activity,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,function,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,function,protein binding,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,function,para-aminobenzoyl-glutamate hydrolase activity,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,function,protein heterodimerization activity,No Annotation,No Annotation
b1338,No Annotation,abga,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,function,hydrolase activity,No Annotation,No Annotation
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,process,proteolysis,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,process,folic acid catabolic process,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,component,cytosol,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,component,cytoplasm,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,function,dipeptidase activity,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,function,protein binding,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,function,para-aminobenzoyl-glutamate hydrolase activity,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,function,protein heterodimerization activity,Poorly Characterized,General function prediction only
b1337,R,abgb,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,function,hydrolase activity,Poorly Characterized,General function prediction only
b1339,No Annotation,abgr,putative LysR-type DNA-binding transcriptional regulator AbgR,process,"regulation of transcription, DNA-templated",No Annotation,No Annotation
b1339,No Annotation,abgr,putative LysR-type DNA-binding transcriptional regulator AbgR,process,"transcription, DNA-templated",No Annotation,No Annotation
b1339,No Annotation,abgr,putative LysR-type DNA-binding transcriptional regulator AbgR,component,cytosol,No Annotation,No Annotation
b1339,No Annotation,abgr,putative LysR-type DNA-binding transcriptional regulator AbgR,function,DNA-binding transcription factor activity,No Annotation,No Annotation
b1339,No Annotation,abgr,putative LysR-type DNA-binding transcriptional regulator AbgR,function,DNA binding,No Annotation,No Annotation
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,process,p-aminobenzoyl-glutamate transmembrane transport,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,process,amino acid transport,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,process,p-aminobenzoyl-glutamate transport,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,component,plasma membrane,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,component,integral component of membrane,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,component,membrane,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,function,secondary active transmembrane transporter activity,Metabolism,Coenzyme transport and metabolism
b1336,H,abgt,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,function,secondary active p-aminobenzoyl-glutamate transmembrane transporter activity,Metabolism,Coenzyme transport and metabolism
b2628,No Annotation,abpa,CP4-57 prophage; anti-bacteriophage protein,process,defense response to virus,No Annotation,No Annotation
b2628,No Annotation,abpa,CP4-57 prophage; anti-bacteriophage protein,component,cytosol,No Annotation,No Annotation
b2628,No Annotation,abpa,CP4-57 prophage; anti-bacteriophage protein,function,protein binding,No Annotation,No Annotation
b2627,No Annotation,abpb,CP4-57 prophage; putative helicase YfjK,process,defense response to virus,No Annotation,No Annotation
b2627,No Annotation,abpb,CP4-57 prophage; putative helicase YfjK,process,response to ionizing radiation,No Annotation,No Annotation
b2627,No Annotation,abpb,CP4-57 prophage; putative helicase YfjK,component,cytosol,No Annotation,No Annotation
b2627,No Annotation,abpb,CP4-57 prophage; putative helicase YfjK,function,protein binding,No Annotation,No Annotation
b0715,R,abrb,putative regulator,process,regulation of gene expression,Poorly Characterized,General function prediction only
b0715,R,abrb,putative regulator,component,plasma membrane,Poorly Characterized,General function prediction only
b0715,R,abrb,putative regulator,component,integral component of membrane,Poorly Characterized,General function prediction only
b0715,R,abrb,putative regulator,component,membrane,Poorly Characterized,General function prediction only
b0715,R,abrb,putative regulator,function,No Ontology,Poorly Characterized,General function prediction only
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,process,fatty acid metabolic process,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,process,lipid metabolic process,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,process,malonyl-CoA biosynthetic process,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,process,long-chain fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,process,fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,component,acetyl-CoA carboxylase complex,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,component,cytoplasm,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,component,cytosol,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,component,acetate CoA-transferase complex,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,carboxyl- or carbamoyltransferase activity,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,transferase activity,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,identical protein binding,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,ATP binding,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,nucleotide binding,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,ligase activity,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,protein binding,Metabolism,Lipid transport and metabolism
b0185,I,acca,acetyl-CoA carboxyltransferase subunit &alpha;,function,acetyl-CoA carboxylase activity,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,process,protein biotinylation,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,process,fatty acid metabolic process,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,process,lipid metabolic process,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,process,fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,component,cytosol,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,component,acetyl-CoA carboxylase complex,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,component,cytoplasm,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,function,protein binding,Metabolism,Lipid transport and metabolism
b3255,I,accb,biotin carboxyl carrier protein,function,acetyl-CoA carboxylase activity,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,process,fatty acid metabolic process,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,process,lipid metabolic process,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,process,malonyl-CoA biosynthetic process,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,process,negative regulation of fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,process,fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,component,cytosol,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,component,cytoplasm,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,protein binding,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,ligase activity,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,metal ion binding,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,protein homodimerization activity,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,ATP binding,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,nucleotide binding,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,biotin carboxylase activity,Metabolism,Lipid transport and metabolism
b3256,I,accc,biotin carboxylase,function,acetyl-CoA carboxylase activity,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,fatty acid metabolic process,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,lipid metabolic process,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,regulation of translation,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,malonyl-CoA biosynthetic process,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,long-chain fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,negative regulation of translation,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,process,fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,component,acetyl-CoA carboxylase complex,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,component,cytoplasm,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,component,acetate CoA-transferase complex,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,carboxyl- or carbamoyltransferase activity,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,transferase activity,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,RNA binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,metal ion binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,ATP binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,nucleotide binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,DNA binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,mRNA binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,zinc ion binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,protein binding,Metabolism,Lipid transport and metabolism
b2316,I,accd,acetyl-CoA carboxyltransferase subunit &beta;,function,acetyl-CoA carboxylase activity,Metabolism,Lipid transport and metabolism
b4015,C,acea,isocitrate lyase,process,carboxylic acid metabolic process,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,process,tricarboxylic acid cycle,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,process,glyoxylate cycle,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,component,No Ontology,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,function,catalytic activity,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,function,metal ion binding,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,function,lyase activity,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,function,cation binding,Metabolism,Energy production and conversion
b4015,C,acea,isocitrate lyase,function,isocitrate lyase activity,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,process,tricarboxylic acid cycle,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,process,glyoxylate cycle,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,component,cytosol,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,component,cytoplasm,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,function,transferase activity,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,function,catalytic activity,Metabolism,Energy production and conversion
b4014,C,aceb,MALATE-SYNTHASE,function,malate synthase activity,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,process,oxidation-reduction process,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,process,glycolytic process,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,component,cytosolic pyruvate dehydrogenase complex,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,protein homodimerization activity,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,thiamine pyrophosphate binding,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,magnesium ion binding,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,oxidoreductase activity,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,catalytic activity,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,identical protein binding,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,pyruvate dehydrogenase activity,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,metal ion binding,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,protein binding,Metabolism,Energy production and conversion
b0114,C,acee,pyruvate dehydrogenase E1 component,function,pyruvate dehydrogenase (acetyl-transferring) activity,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",process,pyruvate metabolic process,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",process,acetyl-CoA biosynthetic process from pyruvate,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",process,glycolytic process,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",component,pyruvate dehydrogenase complex,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",component,cytoplasm,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,dihydrolipoamide S-acyltransferase activity,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,acetyltransferase activity,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,"transferase activity, transferring acyl groups",Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,transferase activity,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,lipoic acid binding,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,protein binding,Metabolism,Energy production and conversion
b0115,C,acef,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",function,dihydrolipoyllysine-residue acetyltransferase activity,Metabolism,Energy production and conversion
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,peptidyl-serine dephosphorylation,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,phosphorylation,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,glucose metabolic process,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,peptidyl-serine phosphorylation,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,regulation of catalytic activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,tricarboxylic acid cycle,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,process,glyoxylate cycle,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,component,cytosol,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,component,cytoplasm,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,"hydrolase activity, acting on ester bonds",Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,protein binding,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,phosphatase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,hydrolase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,transferase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,kinase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,phosphoprotein phosphatase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,nucleotide binding,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,AMP binding,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,protein serine/threonine phosphatase activity,Cellular Processes and Signaling,Signal transduction mechanisms
