name,gene_product,complex_annotation,localization,go_terms,localization_group
acra,multidrug efflux pump membrane fusion lipoprotein AcrA,multidrug efflux pump AcrAD-TolC,LPI,GO:0042910; GO:0022857; GO:0006855; GO:0042908; GO:0009636; GO:0015895; GO:0015908; GO:0042493; GO:0015125; GO:0015567; GO:0031226; GO:0005515; GO:1990281; GO:0031237; GO:0015721; GO:0042802; GO:0055085; GO:0016020; GO:0030288; GO:0005886; GO:0046677,envelope
acra,multidrug efflux pump membrane fusion lipoprotein AcrA,multidrug efflux pump AcrAB-TolC,LPI,GO:0042910; GO:0022857; GO:0006855; GO:0042908; GO:0009636; GO:0015895; GO:0015908; GO:0042493; GO:0015125; GO:0015567; GO:0031226; GO:0005515; GO:1990281; GO:0031237; GO:0015721; GO:0042802; GO:0055085; GO:0016020; GO:0030288; GO:0005886; GO:0046677,envelope
acrb,multidrug efflux pump RND permease AcrB,multidrug efflux pump AcrAB-TolC,IM,GO:0042908; GO:0015299; GO:0055085; GO:0022857; GO:0015562; GO:0046677; GO:0030288; GO:0015567; GO:0015895; GO:0015908; GO:0042931; GO:0042930; GO:0015125; GO:0009636; GO:0015721; GO:1990281; GO:0042802; GO:0005515; GO:0005887; GO:0042493; GO:0005886; GO:0016021; GO:0016020;GO:0006261; GO:0034335; GO:0016853; GO:0003916; GO:0000166; GO:0046872; GO:0005694; GO:0005829; GO:0005515; GO:0009330; GO:0042493; GO:0008094; GO:0003677; GO:0046677; GO:0006265; GO:0005524; GO:0003918; GO:0006351; GO:0005737,envelope
acrd,multidrug efflux pump RND permease AcrD,multidrug efflux pump AcrAD-TolC,IM,GO:0042908; GO:0015299; GO:0015125; GO:0005515; GO:0030288; GO:1990281; GO:0046677; GO:0009636; GO:0015721; GO:0005887; GO:0055085; GO:0022857; GO:0015562; GO:0005886; GO:0016021; GO:0016020,envelope
actp,acetate/glycolate:cation symporter,acetate/glycolate:cation symporter,IM,GO:0022857; GO:0015710; GO:0015654; GO:0097339; GO:0055085; GO:0016021; GO:0016020; GO:0006811; GO:0006847; GO:0015123; GO:0043879; GO:0005887; GO:0005886; GO:0015293; GO:0006814,envelope
agp,glucose-1-phosphatase,glucose-1-phosphatase,PE,GO:0006007; GO:0016311; GO:0016787; GO:0030288; GO:0042803; GO:0042597; GO:0008877; GO:0016158,envelope
amic,N-acetylmuramoyl-L-alanine amidase C,N-acetylmuramoyl-L-alanine amidase C,PE,GO:0051301; GO:0071555; GO:0043093; GO:0016787; GO:0009253; GO:0030288; GO:0042597; GO:0008745,envelope
ampc,&beta;-lactamase,&beta;-lactamase,PE,GO:0016787; GO:0030288; GO:0017001; GO:0046677; GO:0042597; GO:0008800,envelope
apha,acid phosphatase / phosphotransferase,acid phosphatase / phosphotransferase,PE,GO:0042802; GO:0000287; GO:0016311; GO:0004647; GO:0030288; GO:0046872; GO:0042597; GO:0016787; GO:0003993,envelope
arcb,"ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB""",sensor histidine kinase ArcB,IM,GO:0005886; GO:0016021; GO:0004721; GO:0070482; GO:0005887; GO:0005829; GO:0000155; GO:0005524; GO:0000166; GO:0046777; GO:0006355; GO:0004673; GO:0007165; GO:0016020; GO:0016301; GO:0016310; GO:0016740; GO:0016772; GO:0018106; GO:0023014; GO:0000160,envelope
argt,lysine/arginine/ornithine ABC transporter periplasmic binding protein,lysine / arginine / ornithine ABC transporter,PE,GO:0071705; GO:0006995; GO:0009267; GO:0071294; GO:1902022; GO:1902023; GO:0015822; GO:0030288; GO:0042597; GO:0006865,envelope
arti,putative ABC transporter periplasmic binding protein ArtI,putative ABC transporter ArtPQMI,PE,GO:0034220; GO:0015276; GO:0071705; GO:0016020; GO:0006865; GO:0030288; GO:0042597,envelope
artj,L-arginine ABC transporter periplasmic binding protein,L-arginine ABC transporter,PE,GO:0015276; GO:0071705; GO:0016020; GO:0016597; GO:0015809; GO:0097638; GO:0006865; GO:0030288; GO:0034618; GO:0042597,envelope
artq,L-arginine ABC transporter membrane subunit ArtQ,L-arginine ABC transporter,IM,GO:0071705; GO:0055085; GO:0043190; GO:0022857; GO:0097638; GO:0005887; GO:0055052; GO:0006865; GO:0005886; GO:0016021; GO:0016020,envelope
artq,L-arginine ABC transporter membrane subunit ArtQ,putative ABC transporter ArtPQMI,IM,GO:0071705; GO:0055085; GO:0043190; GO:0022857; GO:0097638; GO:0005887; GO:0055052; GO:0006865; GO:0005886; GO:0016021; GO:0016020,envelope
asma,putative assembly protein AsmA,putative assembly protein AsmA,PE,GO:0005887; GO:0030288; GO:0005886; GO:0090313; GO:0042597,envelope
atpb,ATP synthase F0 complex subunit a,ATP synthase,IM,GO:0015986; GO:0005887; GO:0016020; GO:0015078; GO:0042777; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0046933,envelope
atpb,ATP synthase F0 complex subunit a,ATP synthase F<sub>0</sub> complex,IM,GO:0015986; GO:0005887; GO:0016020; GO:0015078; GO:0042777; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0046933,envelope
atpe,ATP synthase F0 complex subunit c,ATP synthase F<sub>0</sub> complex - subunit c,IM,GO:1902600; GO:0033177; GO:0016020; GO:0015078; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0008289; GO:0046961; GO:0046933,envelope
atpe,ATP synthase F0 complex subunit c,ATP synthase,IM,GO:1902600; GO:0033177; GO:0016020; GO:0015078; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0008289; GO:0046961; GO:0046933,envelope
atpe,ATP synthase F0 complex subunit c,ATP synthase F<sub>0</sub> complex,IM,GO:1902600; GO:0033177; GO:0016020; GO:0015078; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0008289; GO:0046961; GO:0046933,envelope
atpf,ATP synthase F0 complex subunit b,ATP synthase F<sub>0</sub> complex - subunit b,IM,GO:0005887; GO:0016020; GO:0015078; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0046961; GO:0046933,envelope
