name,gene_product,complex_annotation,localization,go_terms,localization_group
atpf,ATP synthase F0 complex subunit b,ATP synthase,IM,GO:0005887; GO:0016020; GO:0015078; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0046961; GO:0046933,envelope
atpf,ATP synthase F0 complex subunit b,ATP synthase F<sub>0</sub> complex,IM,GO:0005887; GO:0016020; GO:0015078; GO:0015986; GO:0006811; GO:0006754; GO:0005886; GO:0045263; GO:0016021; GO:0046961; GO:0046933,envelope
bama,outer membrane protein assembly factor BamA,Outer Membrane Protein Assembly Complex,OM,GO:0071709; GO:0007155; GO:1990063; GO:0019867; GO:0016020; GO:0005515; GO:0016021; GO:0043165; GO:0051205; GO:0051082; GO:0009279,envelope
bamb,outer membrane protein assembly factor BamB,Outer Membrane Protein Assembly Complex,LPO,GO:1990063; GO:0016020; GO:0042802; GO:0005515; GO:0043165; GO:0051205; GO:0009279,envelope
bamc,outer membrane protein assembly factor BamC,Outer Membrane Protein Assembly Complex,LPO,GO:0051205; GO:0042802; GO:0009986; GO:1990063; GO:0016020; GO:0005515; GO:0043165; GO:0009279,envelope
bamd,outer membrane protein assembly factor BamD,Outer Membrane Protein Assembly Complex,LPO,GO:1990063; GO:0016020; GO:0005515; GO:0043165; GO:0051205; GO:0009279,envelope
bame,outer membrane protein assembly factor BamE,Outer Membrane Protein Assembly Complex,LPO,GO:1901612; GO:0045203; GO:1990063; GO:0019867; GO:0042802; GO:0016020; GO:0005515; GO:0046677; GO:0043165; GO:0051205; GO:0009279; GO:0030674,envelope
bcsb,cellulose synthase periplasmic subunit,cellulose synthase,IM,GO:0006011; GO:0005886; GO:0030244; GO:0016021; GO:0016020,envelope
bepa,&beta;-barrel assembly-enhancing protease,&beta;-barrel assembly-enhancing protease,PE,GO:0008270; GO:0003756; GO:0043165; GO:0051603; GO:0005515; GO:0046872; GO:0016787; GO:0008233; GO:0004222; GO:0008237; GO:0061077; GO:0042597; GO:0016020; GO:0006508; GO:0030288,envelope
bglx,"&beta;-D-glucoside glucohydrolase, periplasmic","&beta;-D-glucoside glucohydrolase, periplasmic",PE,GO:0102483; GO:0016798; GO:0016787; GO:0015926; GO:0004553; GO:0005975; GO:0030288; GO:0042597; GO:0008152; GO:0008422,envelope
bhsa,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,OM,GO:0016020; GO:0046688; GO:0009279; GO:0042710; GO:0006950,envelope
blc,outer membrane lipoprotein Blc,outer membrane lipoprotein Blc,LPO,GO:0006629; GO:0005737; GO:0000302; GO:0036406; GO:0006974; GO:0008289; GO:0016020; GO:0009279,envelope
bord,DLP12 prophage; prophage lipoprotein BorD,DLP12 prophage; prophage lipoprotein BorD,LPO,GO:0031225; GO:0071286; GO:0005886; GO:0016020,envelope
btub,cobalamin/cobinamide outer membrane transporter,vitamin B12 outer membrane transport complex,OM,GO:0090482; GO:0044718; GO:0042931; GO:0042930; GO:0035461; GO:0033214; GO:0031230; GO:0015685; GO:0015344; GO:0005623; GO:0015420; GO:0034220; GO:0019904; GO:0005515; GO:0005216; GO:0015288; GO:0046930; GO:0006811; GO:0046872; GO:0016021; GO:0016020; GO:0015889; GO:0009279,envelope
chaa,Na+/K+:H+ antiporter ChaA,Na+/K+:H+ antiporter ChaA,IM,GO:0098656; GO:0005623; GO:0006812; GO:0098655; GO:0071805; GO:0035725; GO:0016021; GO:0016020; GO:0015297; GO:0008324; GO:0006811; GO:0005886; GO:0055085; GO:0005887; GO:0015386; GO:0015385; GO:0006813; GO:0006814; GO:0006883; GO:0030007,envelope
cira,EG10155-MONOMER,EG10155-MONOMER,OM,GO:0042931; GO:0042930; GO:0033214; GO:0031230; GO:0015685; GO:0015344; GO:0005623; GO:0044718; GO:0043213; GO:0055072; GO:0016020; GO:0006811; GO:0016021; GO:0015343; GO:0042912; GO:0038023; GO:0009279,envelope
copa,"soluble Cu+ chaperone // ""Cu+ exporting P-type ATPase""","soluble Cu+ chaperone // ""Cu+ exporting P-type ATPase""",IM,GO:0016887; GO:0015662; GO:0006825; GO:0010273; GO:0016531; GO:0098655; GO:0072511; GO:0043682; GO:0035434; GO:0005737; GO:0006812; GO:0019829; GO:1902601; GO:0071292; GO:0071280; GO:0015080; GO:0005887; GO:0060003; GO:0030001; GO:0016020; GO:0006811; GO:0005886; GO:0046872; GO:0016021; GO:0005524; GO:0000166,envelope
cora,Ni2+/Co2+/Mg2+ transporter,Ni2+/Co2+/Mg2+ transporter,IM,GO:1903830; GO:0055085; GO:0046873; GO:0030001; GO:0006811; GO:0035444; GO:0015099; GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0015693; GO:0015095; GO:0015087; GO:0006824,envelope
cpdb,2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase,2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase,PE,GO:0016311; GO:0016788; GO:0016787; GO:0009117; GO:0008152; GO:0003824; GO:0006974; GO:0030288; GO:0046872; GO:0042597; GO:0009166; GO:0000166; GO:0008254; GO:0008663,envelope
cpxa,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",sensor histidine kinase CpxA,IM,GO:0006470; GO:0030288; GO:0005829; GO:0036460; GO:0005887; GO:0004721; GO:0042802; GO:0000160; GO:0009314; GO:0007155; GO:0023014; GO:0018106; GO:0005515; GO:0043708; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016020; GO:0007165; GO:0004673; GO:0046777; GO:0000166; GO:0005886; GO:0016021; GO:0005524; GO:0000155,envelope
cpxa,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",CpxA-<i>N</i>-phospho-L-histidine,IM,GO:0006470; GO:0030288; GO:0005829; GO:0036460; GO:0005887; GO:0004721; GO:0042802; GO:0000160; GO:0009314; GO:0007155; GO:0023014; GO:0018106; GO:0005515; GO:0043708; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016020; GO:0007165; GO:0004673; GO:0046777; GO:0000166; GO:0005886; GO:0016021; GO:0005524; GO:0000155,envelope
cpxp,periplasmic protein CpxP,periplasmic protein CpxP,PE,GO:1990507; GO:0030162; GO:0051082; GO:0005515; GO:0042802; GO:0030288; GO:0006950; GO:0042597,envelope
crea,PF05981 family protein CreA,PF05981 family protein CreA,PE,GO:0005829,envelope
csta,carbon starvation protein A,carbon starvation protein A,IM,GO:0031669; GO:0015833; GO:0015031; GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0009267,envelope
cueo,multicopper oxidase CueO,multicopper oxidase CueO,PE,GO:0042597; GO:0016722; GO:0010273; GO:0016724; GO:0016682; GO:0046688; GO:0004322; GO:0046872; GO:0016491; GO:0030288; GO:0055114; GO:0005507,envelope
cyca,D-serine/alanine/glycine/:H+symporter,D-serine/alanine/glycine/:H+symporter,IM,GO:0055085; GO:0022857; GO:0006865; GO:0042941; GO:0015808; GO:0001762; GO:0015816; GO:0042945; GO:0042944; GO:0015180; GO:0001761; GO:0015187; GO:0042942; GO:0005887; GO:0005886; GO:0016021; GO:0016020,envelope
cyda,cytochrome bd-I ubiquinol oxidase subunit I,cytochrome <i>bd</i>-I ubiquinol oxidase,IM,GO:0016682; GO:0005515; GO:0006119; GO:0070069; GO:0019646; GO:0005887; GO:0046872; GO:0016020; GO:0016021; GO:0055114; GO:0005886; GO:0020037; GO:0016679; GO:0009055,envelope
cydb,cytochrome bd-I ubiquinol oxidase subunit II,cytochrome <i>bd</i>-I ubiquinol oxidase,IM,GO:0005515; GO:0070069; GO:0005887; GO:0019646; GO:0046872; GO:0006119; GO:0016020; GO:0016021; GO:0055114; GO:0005886; GO:0020037; GO:0016682; GO:0009055,envelope
cydc,glutathione/L-cysteine ABC exporter subunit CydC,glutathione / L-cysteine ABC exporter CydDC,IM,GO:0055085; GO:0005623; GO:0045454; GO:0005887; GO:0043190; GO:0016887; GO:0016020; GO:0070453; GO:0033228; GO:0034775; GO:0005886; GO:0042626; GO:0016021; GO:0005524; GO:0000166,envelope
cyoa,cytochrome bo3 ubiquinol oxidase subunit 2,cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,IM,GO:0042773; GO:0008827; GO:0005507; GO:0004129; GO:0071575; GO:0009060; GO:0015990; GO:0055114; GO:0022900; GO:0016491; GO:0016021; GO:0016020; GO:0005886; GO:0016682; GO:0009319; GO:0019646; GO:0070469; GO:0005887; GO:0015078; GO:0009486; GO:0009055; GO:0015453,envelope
cyob,cytochrome bo3 ubiquinol oxidase subunit 1,cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,IM,GO:0004129; GO:0005515; GO:0055114; GO:0046872; GO:0016021; GO:0016020; GO:0009060; GO:0006811; GO:0005886; GO:0016682; GO:0070469; GO:0009319; GO:0015990; GO:0015078; GO:0048039; GO:0019646; GO:0005887; GO:0009486; GO:0020037; GO:0005507; GO:0009055; GO:0015453,envelope
cysp,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,thiosulfate/sulfate ABC transporter,PE,GO:1901681; GO:0036173; GO:0043199; GO:0015709; GO:1902358; GO:0042597; GO:0030288; GO:0008272; GO:0015419; GO:0006790,envelope
cysu,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,thiosulfate/sulfate ABC transporter,IM,GO:0055085; GO:0043190; GO:0005887; GO:1902358; GO:0015419; GO:0005886; GO:0016021; GO:0016020; GO:0008272,envelope
cysu,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,sulfate/thiosulfate ABC transporter,IM,GO:0055085; GO:0043190; GO:0005887; GO:1902358; GO:0015419; GO:0005886; GO:0016021; GO:0016020; GO:0008272,envelope
daca,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,IM,GO:0005515; GO:0042803; GO:0030288; GO:1990914; GO:0004175; GO:0071555; GO:0016787; GO:0016020; GO:0008233; GO:0005886; GO:0005887; GO:0008800; GO:0000270; GO:0051301; GO:0008658; GO:0009252; GO:0008360; GO:0006508; GO:0004180; GO:0009002,envelope
dacc,D-alanyl-D-alanine carboxypeptidase DacC,D-alanyl-D-alanine carboxypeptidase DacC,IM,GO:0042803; GO:0030288; GO:0004175; GO:0071555; GO:0016787; GO:0016020; GO:0008233; GO:0005886; GO:0005887; GO:0008658; GO:0009252; GO:0009002; GO:0008360; GO:0006508; GO:0004180; GO:0042493,envelope
dada,D-amino acid dehydrogenase,D-amino acid dehydrogenase,IM,GO:0005737; GO:0055114; GO:0019478; GO:0016491; GO:0016020; GO:0019480; GO:0055130; GO:0005886; GO:0008718,envelope
damx,cell division protein DamX,cell division protein DamX,IM,GO:0032506; GO:0005887; GO:0030428; GO:0032153; GO:0042834; GO:0005515; GO:0051301; GO:0005886; GO:0016021; GO:0016020; GO:0007049; GO:0000910,envelope
dcrb,periplasmic bacteriophage sensitivity protein DcrB,periplasmic bacteriophage sensitivity protein DcrB,PE,GO:0031225; GO:0042597,envelope
dedd,cell division protein DedD,cell division protein DedD,IM,GO:0005887; GO:0051301; GO:0016021; GO:0016020; GO:0007049; GO:0005886; GO:0042834; GO:0030428; GO:0032153; GO:0032506,envelope
degp,periplasmic serine endoprotease DegP,periplasmic serine endoprotease DegP,PE,GO:0006457; GO:0009408; GO:0061077; GO:0016787; GO:0008236; GO:0008233; GO:0042802; GO:0016020; GO:0005886; GO:0030288; GO:0006515; GO:0005515; GO:0004252; GO:0006979; GO:0009266; GO:0006508,envelope
degq,periplasmic serine endoprotease,periplasmic serine endoprotease,PE,GO:0005515; GO:0042802; GO:0016787; GO:0008236; GO:0071575; GO:0030288; GO:0051603; GO:0042597; GO:0008233; GO:0004252; GO:0006508,envelope
dppa,dipeptide ABC transporter periplasmic binding protein,dipeptide ABC transporter,PE,GO:1904680; GO:0035442; GO:0055085; GO:0043190; GO:0015886; GO:0020037; GO:0050918; GO:0061077; GO:0042597; GO:0015833; GO:0015031; GO:0042938; GO:0071916; GO:0030288; GO:0042277; GO:0006935,envelope
dsba,"thiol:disulfide oxidoreductase - DsbAreduced // ""thiol:disulfide oxidoreductase - DsbAoxidized"" // ""thiol:disulfide oxidoreductase DsbA""","thiol:disulfide oxidoreductase - DsbAreduced // ""thiol:disulfide oxidoreductase - DsbAoxidized"" // ""thiol:disulfide oxidoreductase DsbA""",PE,GO:0005623; GO:0003756; GO:0055114; GO:0042597; GO:0045454; GO:0071236; GO:0030288; GO:0015035; GO:0005515,envelope
dsbc,protein disulfide isomerase DsbC,protein disulfide isomerase DsbC,PE,GO:0005623; GO:0015035; GO:0046688; GO:0061077; GO:0055114; GO:0030288; GO:0042803; GO:0045454; GO:0042597; GO:0003756,envelope
dsbg,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase DsbG<sub>reduced</sub>,PE,GO:0061077; GO:0003756; GO:0042597; GO:0030288,envelope
dsbg,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase DsbG<sub>oxidized</sub>,PE,GO:0061077; GO:0003756; GO:0042597; GO:0030288,envelope
dsbg,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase and chaperone DsbG,PE,GO:0061077; GO:0003756; GO:0042597; GO:0030288,envelope
ecnb,bacteriolytic entericidin B lipoprotein,bacteriolytic entericidin B lipoprotein,LPO,GO:0036405; GO:0016020; GO:0009636; GO:0005886,envelope
eco,serine protease inhibitor ecotin,serine protease inhibitor ecotin,PE,GO:0010951; GO:0042803; GO:0030414; GO:0030288; GO:0005515; GO:0010466; GO:0042597; GO:0004867,envelope
efeo,ferrous iron transport system protein EfeO,ferrous iron transport system protein EfeO,PE,GO:0009411; GO:0009636; GO:0006979; GO:0030288; GO:0046677; GO:0042597,envelope
emra,multidrug efflux pump membrane fusion protein EmrA,multidrug efflux pump EmrAB-TolC,IM,GO:0042910; GO:0022857; GO:0031226; GO:0030288; GO:0005887; GO:1990281; GO:0048545; GO:0005515; GO:0015721; GO:0015125; GO:0009636; GO:1990961; GO:0042802; GO:0016020; GO:0005886; GO:0055085; GO:0046677; GO:0016021,envelope
emta,lytic murein transglycosylase E,lytic murein transglycosylase E,LPO,GO:0051301; GO:0071555; GO:0008933; GO:0000270; GO:0016998; GO:0016837; GO:0016829; GO:0016020; GO:0009279; GO:0008932,envelope
envz,sensor histidine kinase EnvZ,sensor histidine kinase EnvZ,IM,GO:0047484; GO:0042802; GO:0006470; GO:0030288; GO:0005829; GO:0000160; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016021; GO:0016020; GO:0007165; GO:0005886; GO:0004673; GO:0005515; GO:0042803; GO:0004721; GO:0005887; GO:0046777; GO:0000166; GO:0005524; GO:0000155; GO:0006970,envelope
envz,sensor histidine kinase EnvZ,EnvZ-<i>N</i>-phospho-L-histidine,IM,GO:0047484; GO:0042802; GO:0006470; GO:0030288; GO:0005829; GO:0000160; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016021; GO:0016020; GO:0007165; GO:0005886; GO:0004673; GO:0005515; GO:0042803; GO:0004721; GO:0005887; GO:0046777; GO:0000166; GO:0005524; GO:0000155; GO:0006970,envelope
eptc,phosphoethanolamine transferase EptC,phosphoethanolamine transferase EptC,IM,GO:0016772; GO:0003824; GO:0008484; GO:0016776; GO:0006629; GO:0016021; GO:0016020; GO:0009244; GO:0005886; GO:0016740; GO:0009103,envelope
exbb,Ton complex subunit ExbB,energy transducing Ton complex,IM,GO:0017038; GO:0055085; GO:0022857; GO:0042802; GO:0098797; GO:0005887; GO:0015889; GO:0042928; GO:0016020; GO:0005515; GO:0050821; GO:0031992; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbb,Ton complex subunit ExbB,vitamin B12 outer membrane transport complex,IM,GO:0017038; GO:0055085; GO:0022857; GO:0042802; GO:0098797; GO:0005887; GO:0015889; GO:0042928; GO:0016020; GO:0005515; GO:0050821; GO:0031992; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbb,Ton complex subunit ExbB,ferric enterobactin outer membrane transport complex,IM,GO:0017038; GO:0055085; GO:0022857; GO:0042802; GO:0098797; GO:0005887; GO:0015889; GO:0042928; GO:0016020; GO:0005515; GO:0050821; GO:0031992; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbb,Ton complex subunit ExbB,ferrichrome outer membrane transport complex,IM,GO:0017038; GO:0055085; GO:0022857; GO:0042802; GO:0098797; GO:0005887; GO:0015889; GO:0042928; GO:0016020; GO:0005515; GO:0050821; GO:0031992; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbb,Ton complex subunit ExbB,ferric citrate outer membrane transport complex,IM,GO:0017038; GO:0055085; GO:0022857; GO:0042802; GO:0098797; GO:0005887; GO:0015889; GO:0042928; GO:0016020; GO:0005515; GO:0050821; GO:0031992; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbb,Ton complex subunit ExbB,ferric coprogen outer membrane transport complex,IM,GO:0017038; GO:0055085; GO:0022857; GO:0042802; GO:0098797; GO:0005887; GO:0015889; GO:0042928; GO:0016020; GO:0005515; GO:0050821; GO:0031992; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbd,Ton complex subunit ExbD,energy transducing Ton complex,IM,GO:0055085; GO:0022857; GO:0098797; GO:0042803; GO:0005887; GO:0016020; GO:0042802; GO:0005515; GO:0031992; GO:0050821; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbd,Ton complex subunit ExbD,vitamin B12 outer membrane transport complex,IM,GO:0055085; GO:0022857; GO:0098797; GO:0042803; GO:0005887; GO:0016020; GO:0042802; GO:0005515; GO:0031992; GO:0050821; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbd,Ton complex subunit ExbD,ferric enterobactin outer membrane transport complex,IM,GO:0055085; GO:0022857; GO:0098797; GO:0042803; GO:0005887; GO:0016020; GO:0042802; GO:0005515; GO:0031992; GO:0050821; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbd,Ton complex subunit ExbD,ferrichrome outer membrane transport complex,IM,GO:0055085; GO:0022857; GO:0098797; GO:0042803; GO:0005887; GO:0016020; GO:0042802; GO:0005515; GO:0031992; GO:0050821; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbd,Ton complex subunit ExbD,ferric citrate outer membrane transport complex,IM,GO:0055085; GO:0022857; GO:0098797; GO:0042803; GO:0005887; GO:0016020; GO:0042802; GO:0005515; GO:0031992; GO:0050821; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
exbd,Ton complex subunit ExbD,ferric coprogen outer membrane transport complex,IM,GO:0055085; GO:0022857; GO:0098797; GO:0042803; GO:0005887; GO:0016020; GO:0042802; GO:0005515; GO:0031992; GO:0050821; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
fadl,long-chain fatty acid outer membrane channel / bacteriophage T2 receptor,long-chain fatty acid outer membrane channel / bacteriophage T2 receptor,OM,GO:0031230; GO:0015908; GO:0055085; GO:0022834; GO:0015483; GO:0015909; GO:0016021; GO:0016020; GO:0006869; GO:0009279,envelope
fdog,formate dehydrogenase O subunit &alpha;,formate dehydrogenase O,PE,GO:0030151; GO:0016020; GO:0022900; GO:0051539; GO:0051536; GO:0047111; GO:0043546; GO:0008863; GO:0015944; GO:0036397; GO:0030288; GO:0005515; GO:0055114; GO:0009055; GO:0042597; GO:0006974; GO:0005829; GO:0009326; GO:0046872; GO:0045333; GO:0016491; GO:0009061,envelope
feca,ferric citrate outer membrane transporter,FecAR Signal Transduction System,OM,GO:0072512; GO:0044718; GO:0038023; GO:0034755; GO:0015344; GO:0015891; GO:0019867; GO:0016020; GO:0006811; GO:0015091; GO:0006826; GO:0055072; GO:0016021; GO:0009279; GO:0009279,envelope
feca,ferric citrate outer membrane transporter,ferric citrate outer membrane transport complex,OM,GO:0072512; GO:0044718; GO:0038023; GO:0034755; GO:0015344; GO:0015891; GO:0019867; GO:0016020; GO:0006811; GO:0015091; GO:0006826; GO:0055072; GO:0016021; GO:0009279; GO:0009279,envelope
fepa,ferric enterobactin outer membrane transporter,ferric enterobactin outer membrane transport complex,OM,GO:0044718; GO:0042931; GO:0042930; GO:0038023; GO:0031230; GO:0015344; GO:0005623; GO:0019904; GO:0015891; GO:0055085; GO:0033214; GO:0016021; GO:0016020; GO:0006811; GO:0045203; GO:0005515; GO:0015685; GO:0015620; GO:0042914; GO:0042912; GO:0022834; GO:0055072; GO:0009279,envelope
fepb,ferric enterobactin ABC transporter periplasmic binding protein,ferric enterobactin ABC transporter,PE,GO:0005623; GO:0015685; GO:1903981; GO:0006974; GO:0030288; GO:0055072; GO:0042597; GO:0006811,envelope
fhua,ferrichrome outer membrane transporter/phage receptor,ferrichrome outer membrane transport complex,OM,GO:0044718; GO:0038023; GO:0015344; GO:0005515; GO:0019904; GO:0015891; GO:0048037; GO:0016020; GO:0005506; GO:0055072; GO:0046790; GO:0015643; GO:0016021; GO:0006811; GO:0009279,envelope
fhue,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,ferric coprogen outer membrane transport complex,OM,GO:0044718; GO:0038023; GO:0015344; GO:0015891; GO:0055072; GO:0016021; GO:0016020; GO:0006811; GO:0009279,envelope
fiu,putative iron siderophore outer membrane transporter,putative iron siderophore outer membrane transporter,OM,GO:0044718; GO:0038023; GO:0015344; GO:0055072; GO:0016020; GO:0006811; GO:0042884; GO:0016021; GO:0015891; GO:0015891; GO:0009279,envelope
